image,label,dataset,kfold0,kfold1,kfold2,kfold3,kfold4
../data/AML_LMU/Band Neutrophil/NGB_0019.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0020.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0021.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0022.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0023.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0024.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0025.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0026.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0027.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0028.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0029.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0030.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0031.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0032.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0033.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0034.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0035.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0036.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0037.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0038.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0039.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0040.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0041.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0042.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0043.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0044.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0045.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0046.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0047.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0048.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0049.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0050.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0051.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0052.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0053.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0054.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0055.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0056.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0057.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0058.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0059.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0060.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0061.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0062.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0063.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0064.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0065.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0066.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0067.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0068.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0069.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0070.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0071.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0072.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0073.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0074.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0075.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0076.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0077.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0078.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0079.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0080.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0081.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0082.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0083.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0084.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0085.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0086.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0087.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0088.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0089.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0090.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0091.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0092.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0093.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0094.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0095.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0096.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0097.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0098.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0099.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0100.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0101.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0102.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0103.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0104.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0105.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0106.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0107.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0108.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0109.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0001.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0002.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0003.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0004.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0005.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0006.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0007.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0008.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0009.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0010.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0011.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0012.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0013.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0014.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0015.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0016.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0017.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0018.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0019.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0020.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0021.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0022.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0023.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0024.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0025.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0026.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0027.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0028.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0029.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0030.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0031.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0032.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0033.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0034.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0035.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0036.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0037.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0038.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0039.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0040.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0041.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0042.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0043.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0044.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0045.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0046.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0047.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0048.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0049.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0050.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0051.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0052.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0053.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0054.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0055.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0056.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0057.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0058.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0059.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0060.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0061.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0062.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0063.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0064.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0065.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0066.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0067.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0068.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0069.tiff,Basophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Basophil/BAS_0070.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0071.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0072.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0073.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Basophil/BAS_0074.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0075.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0076.tiff,Basophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Basophil/BAS_0077.tiff,Basophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Basophil/BAS_0078.tiff,Basophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Basophil/BAS_0079.tiff,Basophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0001.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0002.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0003.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0004.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0005.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0006.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0007.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0008.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0009.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0010.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0011.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0012.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0013.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0014.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0015.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0016.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0017.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0018.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0019.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0020.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0021.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0022.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0023.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0024.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0025.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0026.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0027.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0028.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0029.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0030.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0031.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0032.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0033.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0034.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0035.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0036.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0037.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0038.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0039.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0040.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0041.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0042.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0043.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0044.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0045.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0046.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0047.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0048.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0049.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0050.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0051.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0052.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0053.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0054.tiff,Eosinophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Eosinophil/EOS_0055.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0056.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0057.tiff,Eosinophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Eosinophil/EOS_0058.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0059.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0060.tiff,Eosinophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Eosinophil/EOS_0061.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0062.tiff,Eosinophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Eosinophil/EOS_0063.tiff,Eosinophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Eosinophil/EOS_0064.tiff,Eosinophil,AML_LMU,val,train,train,train,test
